cid,url,catalog_year,course_id,title,credits,attempts,department,Description,Prerequisite,Schedule_Type,hours_of_lect_perweek,hours_of_lab_perweek,when_offer,Notes,Grading,Corequisite,status
CS101,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302776,2016-2017,"CS 101","Preview of Computer Science",2,"Limited to 2 Attempts","Computer Science","Offers a broad overview of computer science designed to provide students with an introduction to the field of computer science and an orientation to the Computer Science department and the computing environment at the university. Includes a project to introduce problem solving using computers.Prerequisite(s) enforced by registration system.","",LEC,2,0,"","All computer science majors are required to take this course within their first year.","Satisfactory/No Credit","CS 112.",required
CS105,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302777,2016-2017,"CS 105","Computer Ethics and Society",1,"Limited to 2 Attempts","Computer Science","Intensive introduction to legal, social, and ethical issues surrounding software development and computer use. Stresses professional conduct, social responsibility, and rigorous standards for software testing and reliability. Examines issues such as liability, ownership of information, and computer crime.Fulfills Mason Core requirement in  information technology (ethics only).","",LEC,1,0,"","","","",required
CS112,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302778,2016-2017,"CS 112","Introduction to Computer Programming",4,"Limited to 2 Attempts","Computer Science","Rigorous introduction to problem solving through development of computer programs. Focuses on identifying algorithmic patterns in problems, describing problem solutions in high-level pseudocode, then implementing in a procedural programming language. Basic programming concepts are covered in detail including expressions, control structures, simple data types, and input/output. Program testing and debugging are discussed to verify that problems are solved correctly.Fulfills Mason Core requirement in information technology (all except ethics).","C or better in MATH 104 or MATH 105 or specified score on math placement test, or MATH 113 with a C or better.","LAB, LEC",3,1,"","","Undergraduate Special","",required
CS211,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302780,2016-2017,"CS 211","Object-Oriented Programming",3,"Limited to 2 Attempts","Computer Science","Thorough treatment of programming according to object-oriented principles. Introduces classes, interfaces, inheritance, polymorphism, and single dispatch as means to decompose problems. Covers intermediate programming techniques including error handling through exceptions, arrangement of source code into packages, and simple data structures. Intermediate debugging techniques and unit testing are covered.","Grade of C or better in CS 112.","LAB, LEC",3,1,"","","Undergraduate Special","",required
CS262,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302784,2016-2017,"CS 262","Introduction to Low-Level Programming",2,"Limited to 2 Attempts","Computer Science","Introduction to the language C, as well as operating system concepts, in UNIX, to prepare students for topics in systems programming.","Grade of C or better in CS 211 or CS 222.","LAB,",2,0,"","","","",required
CS306,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302785,2016-2017,"CS 306","Synthesis of Ethics and Law for the Computing Professional",3,"Limited to 2 Attempts","Computer Science","Practical course to become effective computer professional. Examines legal and ethical issues surrounding computer technology and its use, as well as the foundation building that is necessary to deal with those challenges. Applies philosophical bases for ethical decision making to modern concerns raised by computers and technology. Addresses topics covered by CS 105 in a more intensive manner and focuses on the emerging legal and ethical issues involved in e-commerce and widespread use of the Internet.Fulfills Mason Core requirement in synthesis.Fulfills writing intensive requirement in the major.","C or higher in CS 105; (COMM 100, and ENGH 302) or (HNRS 110 and HNRS 122, 130, 131, 230 or 240); junior standing (at least 60 credit hours).",LEC,3,0,"","Computer science majors may use this course to satisfy the Mason Core synthesis requirement, so long as they have not previously taken CS 305 for credit.","","All required Mason Core courses.",required
CS310,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302786,2016-2017,"CS 310","Data Structures",3,"Limited to 2 Attempts","Computer Science","Focuses on object-oriented programming with an emphasis on tools and techniques for developing moderate to large programs. Topics include use and implementation of linear and nonlinear data structures and the design and analysis of elementary algorithms.","Grade of C or better in CS 211 and MATH 113.",LEC,3,0,"","","","CS 105.",required
CS321,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=307250,2016-2017,"CS 321","Software Engineering",3,"Limited to 2 Attempts","Computer Science","An introduction to concepts, methods, and tools for the creation of large-scale software systems. Methods, tools, notations, and validation techniques to analyze, specify, prototype, and maintain software requirements. Introduction to object-oriented requirements modeling, including use of case modeling, static modeling, and dynamic modeling using the Unified Modeling Language (UML) notation. Concepts and methods for the design of large-scale software systems. Fundamental design concepts and design notations are introduced. A study of object-oriented analysis and design modeling using the UML notation. Students participate in a group project on software requirements, specification, and object-oriented software design.Fulfills writing intensive requirement in the major.","Grade of C or better in CS 310 and ENGH 302. Students who have received credit for CS 421 or SWE 421 may not take CS 321.",LEC,3,0,"","CS 321 is restricted to students in the Applied Computer Science, Computer Science, or Systems Engineering Bachelor's programs or the Computer Science or Software Engineering minors.","","",required
CS330,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302788,2016-2017,"CS 330","Formal Methods and Models",3,"Limited to 2 Attempts","Computer Science","Abstract concepts that underlie much advanced work in computer science, with major emphasis on formal languages, models of computation, logic, and proof strategies.","Grade of C or better in CS 211 and MATH 125.",LEC,3,0,"","CS 330 is restricted to students in the Applied Computer Science, Computer Science, or Systems Engineering Bachelor's programs or the Computer Science or Software Engineering minors.","","",required
CS367,http://catalog.gmu.edu/previewcourse.php?catoid=29&coid=302790,2016-2017,"CS 367","Computer Systems and Programming",3,"Limited to 2 Attempts","Computer Science","Introduces students to computer systems from a programmer's perspective. Topics include data representation, assembly and machine-level representation of high-level language programs, the memory hierarchy, linking, exceptions, interrupts, processes and signals, virtual memory, and system-level I/O. Foundation for courses on compilers; networks; operating systems; and computer architecture, where a deeper understanding of systems-level issues is required.","Grade of C or better in CS 262 or 222 and ECE 301 or 331.",LEC,3,0,"","","","",required
