id,cid,status
1,CS101,required
2,CS105,required
3,CS112,required
4,CS211,required
5,CS262,required
6,CS306,required
7,CS310,required
8,CS321,required
9,CS330,required
10,CS367,required
11,CS465,required
12,CS483,required
13,ECE301,required
14,MATH113,required
15,MATH114,required
16,MATH125,required
17,MATH203,required
18,MATH213,required
19,STAT344,required
20,COMM100,required
21,CS463,elective
22,CS471,elective
23,CS475,elective
24,CS425,elective
25,CS440,elective
26,CS450,elective
27,CS451,elective
28,CS455,elective
29,CS463,elective
30,CS468,elective
31,CS469,elective
32,CS471,elective
33,CS475,elective
34,CS477,elective
35,CS480,elective
36,CS482,elective
37,CS484,elective
38,CS485,elective
39,CS490,elective
40,CS499,elective
41,MATH446,elective
42,MATH481,elective
43,STAT354,elective
44,STAT335,elective
45,STAT441,elective
46,STAT442,elective
47,ECE280,elective
48,ECE431,elective
49,ECE447,elective
50,ECE450,elective
51,ECE511,elective
52,SWE432,elective
53,SWE437,elective
54,SWE443,elective
55,SYST371,elective
56,SYST470,elective
57,PHIL371,elective
58,ENGH388,elective
59,PHIL376,elective
60,ASTR111,elective
61,ASTR112,elective
62,ASTR113,elective
63,ASTR114,elective
64,BIOL103,elective
65,BIOL104,elective
66,CHEM211,elective
67,CHEM213,elective
68,CHEM212,elective
69,CHEM214,elective
70,EVPP110,elective
71,EVPP111,elective
72,GEOL101,elective
73,GEOL102,elective
74,PHYS160,elective
75,PHYS161,elective
76,PHYS260,elective
77,PHYS261,elective
