cid,url,catalog_year,course_id,title,credits,attempts,department,Description,Prerequisite(s),Schedule Type,Hours of Lecture or Seminar per week,Hours of Lab or Studio per week,When Offered,Notes,Grading,Corequisite(s)
ACCT203,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301573,2016-2017,ACCT 203,Survey of Accounting,3,Not Repeatable for Credit,School of Business,"Introduction to financial and managerial accounting. Financial accounting from viewpoint of those who prepare and use financial information. Financial accounting topics include recording financial transaction, creating financial statements, the study of cash and internal controls. Managerial accounting topics include introduction to job order costing, breakeven analysis, standard costs and variances and short term decision making. Lecture, recitation format; requires attendance in weekly lecture and weekly recitation.Equivalent to ACCT 204",Grade of C or higher in ECON 103.,"LEC,",3,0,"Fall, Spring, Summer",,,
ACCT204,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307575,2016-2017,ACCT 204,Honors Survey of Accounting,3,Not Repeatable for Credit,School of Business,"Introduction to financial and managerial accounting. Financial accounting from viewpoint of those who prepare & use financial information. Financial accounting topics include recording financial transaction, creating financial statements, the study of cash and internal controls. Managerial accounting topics include introduction to job order costing, breakeven analysis, standard costs and variances and short term decision making. Lecture, recitation format; requires attendance in weekly lecture and weekly recitation. Project on a global corporation is conducted to reinforce accounting concepts.Equivalent to ACCT 203",Cum GPA of 3.5 or higher; ECON 103 with a grade of B or higher.,LEC,3,0,"Fall, Spring",,,
ACCT301,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301574,2016-2017,ACCT 301,Financial Accounting and Managerial Decision Making,3,Limited to 3 Attempts,School of Business,"School of Business students will not be permitted to make more than three attempts to achieve a C or higher in ACCT 301.Ê Those who do not successfully complete this course within three attempts will be terminated from their major and will not be eligible to receive a degree from the School of Business. For more information about this, see the ""Termination from the Major"" section under",Grade of C or higher in ACCT 203 or ACCT 204; sophomore standing.,LEC,3,0,"Fall, Spring, Summer","Mid-term and final exams may be scheduled on Saturdays for this class. The number of class sessions will be modified to compensate for mid-term examination time. Accommodations will be made for religious conflicts, Saturday classes, and certain official university activities.",,
ACCT303,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308759,2016-2017,ACCT 303,Accounting for Decision Making,3,Limited to 3 Attempts,School of Business,"Examines accounting from the viewpoint of managers and users of accounting information including using financial statement information to make financing, operating, and investing decisions, recognizing how tax system and body of tax law impacts business decision making, using managerial accounting information to make operating and compensation decisions, and understanding importance of internal and external audits to business and capital markets.",Grade of C or higher in each of the following courses:,LEC,3,0,"Fall, Summer, Spring",Students cannot receive credit for ACCT 301 and ACCT 303/ACCT 330.,,
ACCT311,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301575,2016-2017,ACCT 311,Managerial and Cost Accounting,3,Limited to 3 Attempts,School of Business,"Develops skills in identifying business processes, transforming data into useful information, and making managerial decisions. Designed for students in all areas of management, especially those whose career aims include cost management. Topics include analyzing and managing costs, developing cost systems that facilitate decision making, identifying opportunities for improving business process, creating financial and operating budgets for planning and control, and developing measures to assess performance.",Grade of C or higher in ACCT 301 or ACCT 330 degree status. Prerequisite enforced by registration system.,LEC,3,0,"Fall, Spring","Mid-term and final exams may be scheduled on Saturdays for this class. The number of class sessions will be modified to compensate for mid-term examination time. Accommodations will be made for religious conflicts, Saturday classes, and certain official university activities.",,
ACCT330,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308760,2016-2017,ACCT 330,Financial Accounting I,3,Limited to 3 Attempts,School of Business,"ÊThis is the first of the three-course financial accounting sequence that examines financial accounting from the viewpoint of preparers and users of financial statements, including preparing financial statements to reflect financing, operating, and investing decisions of the firm and using financial statement information to make financing, operating and investing decisions for the firm.",Grade of C or higher in each of the following courses:,LEC,3,0,"Fall, Summer, Spring",ACCT 330 is required for all School of Business Accounting and Finance majors.,,
ACCT331,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301576,2016-2017,ACCT 331,Financial Accounting II,3,Limited to 3 Attempts,School of Business,"ÊThis is the second of the three-course financial accounting sequence that examines financial accounting from the viewpoint of preparers and users of financial statements, including preparing financial statements to reflect financing, operating, and investing decisions of the firm and using financial statement information to make financing, operating and investing decisions for the firm.",Grade of C or better in ACCT 301 or ACCT 330. Degree Status.,LEC,3,0,"Fall, Spring","Mid-term and final exams may be scheduled on Saturdays for this class. The number of class sessions will be modified to compensate for mid-term examination time. Accommodations will be made for religious conflicts, Saturday classes, and certain official university activities.",,
ACCT332,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301577,2016-2017,ACCT 332,Financial Accounting III,3,Limited to 3 Attempts,School of Business,"ÊThis is the third of the three-course financial accounting sequence that examines financial accounting from the viewpoint of preparers and users of financial statements, including preparing financial statements to reflect financing, operating, and investing decisions of the firm and using financial statement information to make financing, operating and investing decisions for the firm.","Degree Status, grades of C or higher in ACCT 331 and FNAN 301 or FNAN 303.",LEC,3,0,"Fall, Spring",This course is a continuation of ACCT 331.,,
ACCT351,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301578,2016-2017,ACCT 351,Taxation and Managerial Decision Making,3,Limited to 3 Attempts,School of Business,"ÊIntroduction to fundamental topics in taxation using a business-entities approach. Specific topics include gross income, deductions, losses, and property transactions. The course emphasizes the identification of planning and compliance issues and the application of tax law to resolve those issues. Both tax and non-tax factors affecting decision making are considered.","Grade of C or better in ACCT 301, ACCT 303 or ACCT 330, degree status.",LEC,3,0,"Fall, Spring","Mid-term and final exams may be scheduled on Saturdays for this class. The number of class sessions will be modified to compensate for mid-term examination time. Accommodations will be made for religious conflicts, Saturday classes, and certain official university activities.",,
ACCT361,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301579,2016-2017,ACCT 361,Accounting Information Systems,3,Limited to 3 Attempts,School of Business,ÊThis course involves the study and development of accounting information systems. The focus is on business processes covering many industries with an emphasis on data modeling and internal control. Special topics including XBRL and commercial systems are incorporated throughout the course.,"Grade of C or higher in ACCT 301 or ACCT 330 or ACCT 303 and MIS 301 or MIS 303, degree status. Prerequisite enforced by registration system",LEC,3,0,"Fall, Spring",,,
ACCT370,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308761,2016-2017,ACCT 370,Accounting in a Global Economy,3,Not Repeatable for Credit,School of Business,"ÊInternational Accounting is study of entity reported as multinational company or entity whose reporting obligations to stakeholders are located in a different country. Course focuses on effects of financial reporting, managerial planning and control, international taxation, and international financial statement analysis on multinational reporting entity, and as the convergence of U.S. Generally Accepted Accounting Principles and International Financial Reporting Standards.",Grade of C or higher in ACCT 301 or ACCT 303 or ACCT 330. Degree status.,LEC,3,0,"Fall, Spring",,,
ACCT372,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301580,2016-2017,ACCT 372,Financial Statement Analysis,3,Not Repeatable for Credit,School of Business,"ÊDetailed overview of financial statement analysis by users of financial statements. Students learn about common features of mandatory and voluntary accounting disclosures, behaviors and interactions among different users of financial statement information. Primary focus is analysis of financial statement information in body of financial statements and footnotes, and implications of those disclosures for firm valuation, fraud prediction, taxation, and governance.","Degree Status, grade of C or higher in ACCT 331 or FNAN 341.",LEC,3,0,"Fall, Spring",,,
ACCT411,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301581,2016-2017,ACCT 411,Advanced Managerial Accounting,3,Not Repeatable for Credit,School of Business,"ÊManagerial uses of accounting information in planning, controlling, motivating, and decision making. Emphasizes quantitative and behavioral aspects of managerial accounting.","Degree status, grade of C or higher in ACCT 311.",LEC,3,0,"Fall, Spring",,,
ACCT433,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301582,2016-2017,ACCT 433,Advanced Financial Accounting,3,Not Repeatable for Credit,School of Business,"ÊFocuses on advanced topics in financial accounting. Students study accounting business combinations, preparation of consolidated financial statements, accounting for foreign currency transactions, translation and remeasurement of foreign currency financial statements, partnership accounting, interim and segment reporting, and Securities and Exchange Commission reporting issues. International Financial Reporting Standards (IFRS) are discussed.","C or higher in ACCT 332, degree status.",LEC,3,0,"Fall, Spring",,,
ACCT451,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301583,2016-2017,ACCT 451,Advanced Federal Taxation,3,Not Repeatable for Credit,School of Business,"ÊFederal taxation of corporations, partnerships, fiduciaries, and gratuitous transfers.","Degree status, grade of C or higher in ACCT 351.",LEC,3,0,Fall,,,
ACCT461,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301584,2016-2017,ACCT 461,Assurance and Audit Services,3,Limited to 3 Attempts,School of Business,"ÊIntroduction to audit and other assurance services' objectives, theory, and practices. Focuses on developing skills for interpreting business strategies and identifying related business risks, describing internal control solutions to those risks, identifying evidential sources, providing assurance about those risks and controls, and designing strategies to provide assurance services about the reliability of business information.Fulfills writing intensive requirement in the major.","Degree status, grades of C or higher in ACCT 331 and 361.",LEC,3,0,"Fall, Spring",,,
ACCT462,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301585,2016-2017,ACCT 462,Honors Seminar in Accounting,3,Not Repeatable for Credit,School of Business,ÊAn in-depth study and analysis of contemporary developments and topics of interest in accounting.,"Accounting major, senior standing, permission of the instructor.",LEC,3,0,"Fall, Spring",The topics and format will vary. Enrollment in this course is limited and competitive.,,
ACCT472,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301586,2016-2017,ACCT 472,Government and Not-for-Profit Accounting,3,Not Repeatable for Credit,School of Business,"ÊIntroduction to accounting for nonbusiness organizations. Emphasizes accounting issues unique to these entities, including non-exchange transactions and lack of ownership interest. Includes accounting and reporting for state and local governments, charitable organizations, and the federal government.","Degree status, grade of C or higher in ACCT 331.",LEC,3,0,"Fall, Spring",,,
ACCT491,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301587,2016-2017,ACCT 491,Seminar in Accounting,3,Not Repeatable for Credit,School of Business,ÊAdvanced study of accounting concepts and selected topics.,"Degree status, C or higher in ACCT 331.",SEM,3,0,"Fall, Spring",,,
ACCT492,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=307169,2016-2017,ACCT 492,Internship in Accounting,3,Repeatable within Degree for Credit,School of Business,ÊOpportunity to gain practical and professional experience in conjunction with academic development.Equivalent to BUS 492 (2016-2017 catalog),Grade of C or higher in ACCT 330. Degree Status.,INT,3,0,"Fall, Spring, Summer",No more than 6 credits of School of Business internship coursework (BUS 492 or ACCT 492) can be applied towards a student's 120 (BU) degree applicable credits. Students must receive departmental approval in order to register for this course; please contact the School of Business for internal eligibility requirements.,,
ACCT499,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=301588,2016-2017,ACCT 499,Independent Study,3-Jan,Repeatable within Term for Credit,School of Business,ÊResearch and analysis of selected problems or topics in accounting.,"9 credits in upper-level accounting courses, degree status.",IND,1,0,,"Must be arranged with an instructor, and students must receive written approval from the associate dean for undergraduate programs before registration. Written report required. May be repeated for maximum 6 credits if topics vary.",,
ACCT531,http://catalog.gmu.edu/preview_course.php?catoid=29&coid=308587,2016-2017,ACCT 531,Foundations of Financial Reporting I,3,Not Repeatable for Credit,School of Business,"ÊUpon completing course students will be knowledgeable about global business and trade as it applies to international financial reporting standards. Students will be capable of recording, analyzing, interpreting, and communicating financial and non-financial information for users of such information in accordance with applicable professional authoritative literature.","ACCT 301 or BMGT 613, or equivalent with a grade of ""B-"" or higher. Or permission of program director.",LEC,3,0,,,,
